avgTemp,minTemp,maxTemp,rainFall,avgPrice
3.8,-0.4,10,0.6,3595
3.4,-2.7,10.2,0,3595
7.8,1.1,14.6,0,3595
6,0.3,12.1,1,3582
0.8,-2.7,6,0.3,3552
1.1,-3.5,5.9,2.1,3552
0.3,-3.8,5,0.1,3709
4,-5,11.4,0.5,3679
1.6,-4.7,9.8,0,3679
-0.8,-7.4,4.8,0.1,3679
3.7,0.9,5.8,11.9,3633
0.8,-5,5.7,0,3509
-6,-8.7,-2.4,0.1,3573
-5,-10,0,0,3616
0,-4.9,4.7,0.8,3616
1,-4.6,8.1,0,3616
5.5,-1.6,11.3,0,3616
4.8,-0.4,11.8,0,3616
3.6,-1.9,11,0,3616
3.7,-1.1,10.6,0,3408
1.8,-3.7,7.9,0,3455
-6.8,-9.5,-2.7,0,3398
-7.1,-11,-3.1,0.4,3398
-5.3,-9.6,-1,0.9,3398
-1.4,-6.6,3.6,0.6,3576
0.6,-3.4,4.7,3.8,3576
-2.2,-5.8,1.8,0.2,3576
-2.8,-6.4,1,4,3599
-6.1,-9.3,-2.3,1,3601
-5,-10.4,0.7,0.4,3601
-3.5,-9.5,3.6,0,3601
-3.3,-8.5,1.8,1.8,4252
-2,-6.8,2.2,0,4168
-0.7,-4,2.5,0,4376
-4.1,-7.3,-0.5,0.1,4609
-5.5,-10.8,0.6,0,4609
-2.6,-10,3.4,0,4609
-2.9,-8.2,1.4,0,4609
-6.6,-11.8,-0.8,0,4399
-3.6,-9.5,1.5,0.4,4423
-5.1,-9.2,-1.1,0,4495
-5.6,-11.6,1.4,0,4521
-2.7,-9.5,3.5,0.1,4521
-7.7,-13,-1.8,0.2,4521
-10.1,-14.8,-5.2,0.1,4521
-7.1,-13.2,-0.6,0,4832
-5,-10.6,0.5,0,4888
-4.2,-8.6,0.8,0,5083
-5.4,-9.3,-0.9,0,4551
-5,-9.6,0.8,0,4451
-3.2,-8.9,3,0,4451
-2.1,-6.6,2.7,1.4,4451
-4.7,-8.2,-1.4,0.3,5104
-6,-10.7,-0.3,0,5251
-5.9,-10.5,-0.4,0,5075
-5.8,-10.5,-0.5,0,5234
-4.5,-8.2,0.4,0,5234
-6.5,-10.5,-2,0.2,5234
-7.3,-11.8,-2.8,0.2,5234
-4.8,-11.9,1.3,0,5221
-0.2,-6.7,7.2,0,5134
1.5,-3.9,8.9,0,5134
1,-5.2,8.7,0,5134
1.9,-3.7,8.8,0,5134
1.4,-3.4,8.5,0,5134
2.5,-3.3,8.6,0,5134
2,-2.9,7.6,0,4859
2.6,-0.7,6.3,1.3,4843
0.8,-2.9,5.5,0,4815
-1,-4.6,3.1,0.3,4744
-0.8,-4.8,4,4.5,4727
-3.5,-7.2,0.7,1.9,4727
-3.7,-9.8,2.5,0,4727
-2.4,-5.5,0.9,3.4,4626
-1.3,-7.3,5.6,0,4651
0.8,-6.3,7.7,1.5,4893
1.6,-0.8,4.4,3.8,4893
1.3,-3.9,8.1,0,4834
2.3,-3.8,9.7,0,4834
4.1,-2.8,11.9,0,4834
4.2,-1.4,11.6,0,4841
4,-2.6,12.4,0,4847
4.8,-2,13.7,0,4699
7.4,-0.4,16,0,4791
4.8,-0.8,10.7,0,4770
5.5,-2.7,12.8,0.1,4770
6.1,4.1,8.6,43,4770
4.9,3.4,7.2,3.8,4710
2.5,-0.4,5.6,3.2,4710
0,-3.3,4.3,0,4763
-0.8,-5.4,4.1,0,4590
0.7,-4.6,6.8,0,4688
2.5,-3.8,9,0,4688
4.9,-0.6,10.8,0,4688
3.5,-0.1,7.6,0,4750
3,-2.9,9,0,4798
2,-2,6.7,0,4544
2.7,-3.5,8.6,0,4596
5,-1.5,12,0,4629
7.6,0.4,15.4,0,4629
9.8,2.4,18.1,0,4629
9.1,3.9,16.1,0,4693
4.1,-0.6,8.9,0,4761
1.3,-2.4,5.9,0,4743
2.1,-3.5,8.4,0,4846
5.8,-3.6,13.8,0,4824
10.5,4.3,16.4,0,4824
7.1,4.5,11.3,15.2,4824
7.9,4.1,13.1,0.6,4824
3.6,0.1,7.7,0.4,4824
2.8,-3,8.7,0,4824
4.8,-0.4,10.6,2.8,4776
3.1,-0.5,7.1,0.3,4662
3.2,-2.9,9.3,0,4662
5.5,-2.5,11.9,0,4662
6.2,1,11.9,0.4,4550
5.1,-1.2,11.2,0,4530
7.9,0.4,15.7,0,4486
9.7,1.6,19,0,4341
10.9,1.5,19.8,0,4341
8.9,4.7,14,0.1,4341
7.2,2.8,12.1,2.6,4341
7.8,1.1,15.3,0,4265
9.1,0.5,18.2,0,4073
11,1.3,18.9,0.7,4057
11.7,9.1,14.4,17.1,3783
11.7,7.1,17.4,3.3,3783
10.5,3.4,18.1,0,3783
12.3,4.5,19.9,0.5,3783
10.1,5.1,15.4,2.7,3905
10.2,1.4,18.3,0,3905
12.1,3.6,20.2,0,3961
