avgTemp,minTemp,maxTemp,rainFall,avgPrice
8.4,2.3,16.8,0,3986
9.1,0.7,17.9,0,3986
8.3,2.1,13.6,2.8,3942
7.1,2.4,12.5,1.5,3942
6.9,-0.6,14,0,3942
8.7,3.8,15.1,0.1,3942
7.8,2.3,13.3,0,3938
6.4,4,9.7,6,3938
6.2,2.8,10.8,1.2,3938
6,2.4,10.8,1.3,3930
7.3,0.7,13.6,0.7,3953
8.5,4,14,1.1,3917
10.5,2.8,18.4,0,3927
8.7,6.2,12.1,3.8,3918
7.5,4.1,12.3,3.4,3918
8.2,1.7,15.1,0,3918
11.5,2.9,20.2,0,3918
13.4,4.1,21.9,0,3918
13.3,10.2,16.2,17.7,3895
13.6,10.5,17.1,9.8,3881
14.2,8.5,21.9,0,3881
14.9,8.1,23.1,0,3881
13.4,9.2,18.2,0.6,3881
13.4,8.3,19.5,0.1,3881
12.2,8.4,18.2,10.8,3881
12.3,7.2,17.7,0,3803
13.1,4.6,20.3,0,3830
14.7,8.5,20.5,0.9,3790
17.6,11.3,24.8,0.1,3790
17.8,10.3,26.6,0,3790
13.6,10.8,17.2,15.3,3829
13.3,8.6,20.1,3.1,3714
13.3,7.4,19.4,0,3701
12.4,8.9,17.6,0.9,3648
13,7.1,19.9,0,3681
13,7,20,0.1,3681
14,6,21.8,0,3681
15,6.4,22.5,0,3612
16.9,11,22.4,0.8,3607
14.9,10.1,20.1,1.2,3601
13,6.4,19.3,0,3627
15.1,6.2,23.3,0,3649
17.1,8.2,25,0,3649
19.8,11.9,27.7,0,3649
17.8,11.3,25.4,0,3649
16.9,9.4,24.7,0,2987
18.3,9.5,27.2,0,2987
19.1,11.3,26.4,0.3,2809
19.8,15.6,25.1,3.7,2809
16.7,11.1,22.6,0,2809
17.3,9.2,24.7,0,2809
18.2,10.3,24.9,0,2807
14.9,12.9,19.1,11.2,2807
15.5,12.6,19.7,1.1,2782
18.9,12.3,25.8,0.3,2171
18,14.4,21.8,1.7,2163
17.5,12.3,24.5,2.9,2163
16.7,11.3,22.7,0,2163
16,10.2,21.7,0,2127
16.5,11.1,22.2,0,2096
17.4,11,24.7,0.7,2133
19.7,11.5,27.4,0,2060
21.5,13.5,29.5,0,2005
21,13.8,28.4,0,2005
20.7,13.8,27.9,0,2005
20.2,13.1,27.3,0,1974
19.6,13.7,25.5,1.4,1974
19.8,16,25.4,3.6,1974
19.6,13.2,27.8,0,2087
16.1,10.9,21.7,0,2096
17.5,9.8,25.1,0,2096
20.6,11.8,28.3,0,2096
23.4,16.6,30.6,0,2093
23.1,16.2,30.4,0,2086
21.6,16.5,27.9,2.5,2105
21,16.2,27.3,2.6,2004
19,12.3,25.6,0.1,1995
19.3,14.2,25.3,0.2,1995
19.5,11.5,27,0.2,1995
20.3,13,27.6,0,2010
17.8,14.5,21.7,10.7,2010
18.4,15.9,21.2,5.5,2050
20.5,15.9,26.4,0,2181
22,15.5,28.6,0.4,2272
21.2,16.6,26.6,0.4,2272
20.4,14.2,27.1,0.9,2272
19.5,14.7,24.8,0,2289
19.2,14.7,25.4,2.1,2283
20.7,14.4,27.2,0,2275
22.6,16,29.8,0,2255
22.2,16.4,28.7,0,2247
22.4,16.3,29.3,0,2247
23.4,16.3,31.2,0,2247
24.2,17.1,31.7,0,2251
23.2,18.1,28.7,2.1,2247
23.4,18.7,29.1,0.3,2252
23.9,18.2,30.3,0,2267
24.7,18.6,31.5,0,2259
23.2,19.3,29,2.5,2259
22.7,19.1,28.2,10.4,2259
22.2,19.6,26.8,12.4,2285
23.1,19.7,28.1,3,2284
24.2,19.8,29.9,1.5,2256
23.9,20.4,28.6,5.2,2301
25.3,20.8,30.4,0.3,2285
25.3,22.6,29,4,2285
25.6,23.3,28.8,23.3,2285
25.6,23.5,29.1,29.4,2356
25.4,22.9,29.8,20.7,2394
26,22.5,31.2,1.7,2482
25.4,22,30.5,15,2594
26,22.9,29.1,4.4,2570
25.6,23.4,28.6,24.4,2570
27,23.4,32,9.6,2570
26.1,24.1,28.5,26.7,2539
26.5,23.2,30.7,4.8,2588
27.2,23.1,32.6,0,2810
27.1,22.2,33,0,3051
26.8,22.9,33.2,9.8,3199
25.5,23.1,28.4,20.7,3199
26.7,23.7,30.4,25.1,3199
26.4,23.4,30.6,6.2,3414
26,23.1,30,3.4,3709
27.4,23.5,32.8,0,3879
28.4,23.8,33.6,0,4052
29.4,25.5,34.1,0.7,4217
27.8,24.8,32.2,4.6,4217
26.8,24.4,29.5,13.2,4217
27.1,24.9,31.2,10,4381
26.8,23.9,31,10.7,4891
26,21.7,30.8,0,5055
25.5,20.4,31.1,0.3,5376
26,22.2,30.2,11.3,5293
25.4,23.4,28.5,7.4,5293
26.1,23,30.6,0.8,5293
24.8,23.1,27,19.9,5274
26.6,22.9,31.9,2.2,5481
27.2,23.8,32,0.4,5409
27.2,23.1,31.9,0,5438
28.5,23.5,33.9,0,5401
29.6,24.7,35.1,0.6,5401
29.4,25.1,34.8,1.7,5401
28.5,24.8,33.8,1.6,5478
27.4,23.5,32.3,0.4,5420
25.6,23.5,28.4,11.6,5329
25.6,23.4,29.1,15.7,5273
25.8,22.3,31.2,8.8,5426
25.6,21.8,30.3,0.8,5426
24.1,21.4,26.8,3.1,5426
22.9,21.4,25.1,42.9,5450
23.2,21.6,25.2,29.1,5450
24.6,22,28.3,6.4,5781
24.5,21.8,28.7,5.3,5924
25,21.7,29.9,6,6024
24.9,21.9,29.1,8.1,6024
24.7,22.7,27.8,24.6,6024
25.4,23,29.4,26,6535
26.7,23.4,31.6,8.2,6576
27.8,24.4,32,10.6,6677
28,24.7,31.6,14.4,6743
25.9,21.2,31.3,3,6600
23.2,17.9,29.6,0,6600
22.4,16.6,28.6,0,6600
23.7,18.3,28.8,8.4,6768
22.3,18.2,26.9,1.1,6800
19.7,16.6,24,0,6868
21.1,15.5,27.3,0,6875
21.3,16,27.6,0,6958
20.7,15.3,26.5,0,6958
21.3,15.3,27.8,0,6958
21.9,17,27.7,0,7125
20.7,18.1,23.4,1.6,6741
20.9,18.5,23.9,15.4,6928
21.4,17.8,26.9,1.2,6775
22.4,17.7,28.8,0,6770
22.2,17.4,28.8,0,6770
22.4,18,27.4,0.2,6770
